size,run,gen_time_sec,effective_length,density_non_blank
6x12x15,0,1.09,15,0.5694
6x12x15,1,1.05,15,0.4861
6x12x15,2,1.07,15,0.6389
6x12x15,3,1.09,15,0.7222
6x12x15,4,1.09,15,0.6111
6x12x15,5,1.16,15,0.6806
6x12x15,6,1.12,15,0.6667
6x12x15,7,1.11,15,0.6528
6x12x15,8,1.12,14,0.5139
6x12x15,9,1.1,14,0.7083
6x18x24,0,2.99,24,0.5926
6x18x24,1,3.04,23,0.6111
6x18x24,2,3.07,24,0.4259
6x18x24,3,3.26,24,0.5
6x18x24,4,4.86,24,0.5833
6x18x24,5,3.07,23,0.5185
6x18x24,6,2.87,24,0.5926
6x18x24,7,2.93,23,0.5278
6x18x24,8,3.17,24,0.537
6x18x24,9,3.22,24,0.4815
